"DATE","TIME","TYPE","REF #","DESCRIPTION","Misc Fees","Commissions & Fees","AMOUNT","BALANCE"
"KRE","SPDR SERIES TRUST S&P REGL BKG ETF","$0.00","0.00%","$0.00","$0.00","$0.00","$0.00","$0.00"
"KRYS","KRYSTAL BIOTECH INC COM","$0.00","0.00%","$0.00","$0.00","$0.00","$0.00","$0.00"
"MELI","MERCADOLIBRE INC COM","$0.00","0.00%","$0.00","$0.00","$0.00","$0.00","$0.00"
"MSFT","MICROSOFT CORP COM","$0.00","0.00%","$0.00","$0.00","$0.00","$0.00","$0.00"
"NEM","NEWMONT CORPORATION COM","$0.00","0.00%","$0.00","$0.00","$0.00","$0.00","$0.00"
"NFLX","NETFLIX INC COM","$0.00","0.00%","$0.00","$0.00","$0.00","$12,013,800.00","$0.00"
"NKE","NIKE INC COM CL B","$0.00","0.00%","$0.00","$0.00","$0.00","($2,560,750.00)","$0.00"
"NVDA","NVIDIA CORP COM","$0.00","0.00%","$0.00","$0.00","$0.00","$0.00","$0.00"
"NVO","NOVO NORDISK A/S ADR SPONSORED","$0.00","0.00%","$0.00","$0.00","$0.00","$0.00","$0.00"
"OC","OWENS CORNING COM","$0.00","0.00%","$0.00","$0.00","$0.00","$0.00","$0.00"
"ORCL","ORACLE CORP COM","$0.00","0.00%","$0.00","$0.00","$0.00","($9,456,000.00)","$0.00"
"PEP","PEPSICO INC COM","$0.00","0.00%","$0.00","$0.00","$0.00","($4,400,000.00)","$0.00"
"PLTR","PALANTIR TECH INC COM CL A","$0.00","0.00%","$0.00","$0.00","$0.00","$0.00","$0.00"
"QQQ","INVESCO QQQ TRUST UNIT SER 1 ETF","$0.00","0.00%","$0.00","$0.00","$0.00","$0.00","$0.00"
"ROKU","ROKU INC COM CL A","$0.00","0.00%","$0.00","$0.00","$0.00","$0.00","$0.00"
"SPY","SPDR S&P500 ETF TRUST TR UNIT ETF","$0.00","0.00%","$0.00","$0.00","$0.00","$0.00","$0.00"
"TDG","TRANSDIGM GROUP INC COM","$0.00","0.00%","$0.00","$0.00","$0.00","$0.00","$0.00"
"TEX","TEREX CORP COM","$0.00","0.00%","$0.00","$0.00","$0.00","$0.00","$0.00"
"TGT","TARGET CORP COM","$0.00","0.00%","$0.00","$0.00","$0.00","$0.00","$0.00"
"TMHC","TAYLOR MORRISON HOME CORP COM","$0.00","0.00%","$0.00","$0.00","$0.00","$0.00","$0.00"
"TOL","TOLL BROS INC COM","$0.00","0.00%","$0.00","$0.00","$0.00","$0.00","$0.00"
"TSLA","TESLA INC COM","$0.00","0.00%","$0.00","$319,000.00","$0.00","($2,492,500.00)","$0.00"
"UBER","UBER TECHNOLOGIES INC COM","$0.00","0.00%","$0.00","$0.00","$0.00","$0.00","$0.00"
"WE","WEWORK INC COM CL A","$0.00","0.00%","$0.00","$0.00","$0.00","$0.00","$0.00"
"WMT","WALMART INC COM","$0.00","0.00%","$0.00","$0.00","$0.00","$23,438,000.00","$0.00"
"XLF","SELECT SECTOR SPDR TRUST FINANCIAL ETF","$0.00","0.00%","$0.00","$0.00","$0.00","$0.00","$0.00"
"","OVERALL TOTALS","$122,000.00","+0.70%","$0.00","$513,000.00","$0.00","$77,129,502.50","($17,288,000.00)"
"Forex Account Summary","","","","","","","",""
"Forex Cash","$10,000.00","","","","","","",""
"Forex Unrealized P/L","$0.00","","","","","","",""
"Forex Floating P/L","$0.00","","","","","","",""
"Forex Equity","$10,000.00","","","","","","",""
"Forex Margin","$0.00","","","","","","",""
"Forex Buying Power","$10,000.00","","","","","","",""
"Forex Risk Level","0.00%","","","","","","",""
"Forex Commissions YTD","$0.00","","","","","","",""
"Account Summary","","","","","","","",""
"Net Liquidating Value","$100,511,682.59","","","","","","",""
"Stock Buying Power","$4,769,170.18","","","","","","",""
"Option Buying Power","$2,384,585.09","","","","","","",""
"Equity Commissions & Fees YTD","$1,248.61","","","","","","",""
"Futures Commissions & Fees YTD","$68.80","","","","","","",""
"Total Commissions & Fees YTD","$1,317.41","","","","","","",""
